ARI,FRG,J
0.6588107835346221,0.8272176740557389,11822.35424091577
0.6588107835346221,0.8272198402220046,11822.354236949994
0.6588107835346221,0.8272185922377822,11822.354239130327
0.6588107835346221,0.827220279382176,11822.354236250523
0.6588107835346221,0.8272201534870103,11822.354236447429
0.6588107835346221,0.8272174677072675,11822.354241338107
0.6588107835346221,0.8272200492407763,11822.354236612671
0.6588107835346221,0.8272198797430959,11822.354236885598
0.6588107835346221,0.8272187137912091,11822.354238905464
0.6588107835346221,0.82721803172897,11822.35424020203
0.6588107835346221,0.8272200727416742,11822.354236575244
0.6588107835346221,0.8272178716035049,11822.354240518687
0.6588107835346221,0.8272174316929273,11822.354241412611
0.6588107835346221,0.8272196303815573,11822.354237296691
0.6588107835346221,0.8272173682937137,11822.354241544332
0.6588107835346221,0.8272183102788438,11822.35423966229
0.6588107835346221,0.8272179169224123,11822.354240428594
0.6588107835346221,0.8272194816010285,11822.35423754739
0.6588107835346221,0.8272174516684495,11822.354241371258
0.6588107835346221,0.8272176107478608,11822.354241044522
0.6588107835346221,0.8272176236044012,11822.354241018316
0.6588107835346221,0.8272201661150845,11822.354236427544
0.6588107835346221,0.827219527557186,11822.35423746952
0.6588107835346221,0.8272196776856087,11822.35423721783
0.6588107835346221,0.8272199505146244,11822.354236771
0.6588107835346221,0.8272193236671113,11822.35423781794
0.6588107835346221,0.8272180010289844,11822.35424026238
0.6588107835346221,0.8272197656367941,11822.3542370723
0.6588107835346221,0.8272175129179972,11822.354241244911
0.6588107835346221,0.8272179405916137,11822.35424038169
0.6588107835346221,0.8272198040721686,11822.354237009147
0.6588107835346221,0.8272196615170593,11822.35423724474
0.6588107835346221,0.827218173202771,11822.354239926137
0.6588107835346221,0.8272202327964592,11822.354236323046
0.6588107835346221,0.8272198560985788,11822.354236924091
0.6588107835346221,0.8272195178086703,11822.354237486006
0.6588107835346221,0.827219854409484,11822.354236926843
0.6588107835346221,0.8272194499651799,11822.35423760122
0.6588107835346221,0.8272199981555993,11822.354236694377
0.6588107835346221,0.8272198301293624,11822.354236966485
0.6588107835346221,0.8272199909059154,11822.354236706007
0.6588107835346221,0.8272195015969582,11822.35423751346
0.6588107835346221,0.8272199922657607,11822.354236703828
0.6588107835346221,0.8272182443693162,11822.354239788729
0.6588107835346221,0.8272173238856549,11822.354241637036
0.6588107835346221,0.8272194770163803,11822.35423755518
0.6588107835346221,0.8272177181194456,11822.354240826586
0.6588107835346221,0.8272200018368753,11822.35423668847
0.6588107835346221,0.8272180550684718,11822.354240156264
0.6588107835346221,0.8272201435054404,11822.354236463165
0.6588107835346221,0.8272198879648667,11822.35423687224
0.6588107835346221,0.8272178090793504,11822.354240643595
0.6588107835346221,0.8272174786351187,11822.354241315546
0.6588107835346221,0.827219388144254,11822.354237706935
0.6588107835346221,0.8272199903177913,11822.354236706951
0.6588107835346221,0.8272197866285125,11822.354237037773
0.6588107835346221,0.8272200435358938,11822.35423662177
0.6588107835346221,0.827217548925376,11822.354241170951
0.6588107835346221,0.8272199551381306,11822.354236763547
0.6588107835346221,0.8272201360738004,11822.35423647489
0.6588107835346221,0.8272185533464221,11822.354239202845
0.6588107835346221,0.8272173446245635,11822.3542415937
0.6588107835346221,0.8272197485062617,11822.354237100535
0.6588107835346221,0.8272199340137942,11822.35423679764
0.6588107835346221,0.8272179549071182,11822.354240353368
0.6588107835346221,0.8272178687621191,11822.354240524348
0.6588107835346221,0.827220060146367,11822.35423659529
0.6588107835346221,0.8272197656427883,11822.35423707229
0.6588107835346221,0.8272200893073346,11822.354236548925
0.6588107835346221,0.8272197284980081,11822.354237133584
0.6588107835346221,0.827219982212067,11822.354236719972
0.6588107835346221,0.8272177166739463,11822.354240829503
0.6588107835346221,0.8272179378755027,11822.354240387069
0.6588107835346221,0.8272182395902734,11822.354239797922
0.6588107835346221,0.8272196878235328,11822.354237200983
0.6588107835346221,0.8272181166129572,11822.354240036058
0.6588107835346221,0.8272202758915435,11822.354236255942
0.6588107835346221,0.8272173656415386,11822.35424154986
0.6588107835346221,0.827219744739994,11822.354237106749
0.6588107835346221,0.8272177803813523,11822.35424070117
0.6588107835346221,0.8272192755495121,11822.354237901276
0.6588107835346221,0.8272200753528638,11822.354236571096
0.6588107835346221,0.8272175796985383,11822.354241107943
0.6588107835346221,0.8272173798452921,11822.35424152028
0.6588107835346221,0.8272183963389449,11822.354239498389
0.6588107835346221,0.8272193504469553,11822.354237771748
0.6588107835346221,0.8272174701145277,11822.354241333136
0.6588107835346221,0.8272176211416822,11822.354241023337
0.6588107835346221,0.8272198339063275,11822.35423696031
0.6588107835346221,0.8272197112689272,11822.354237162092
0.6588107835346221,0.8272176963838794,11822.354240870542
0.6588107835346221,0.827218134038293,11822.354240002149
0.6588107835346221,0.8272197581394483,11822.354237084652
0.6588107835346221,0.8272175287266289,11822.354241212412
0.6588107835346221,0.8272177662688437,11822.354240729535
0.6588107835346221,0.8272201504002247,11822.354236452293
0.6588107835346221,0.82721995505239,11822.354236763686
0.6588107835346221,0.8272194193568149,11822.354237653475
0.6588107835346221,0.8272186914014511,11822.354238946682
0.6588107835346221,0.8272201638627811,11822.354236431089
