,m,n
synthetic,1.058,1.011
wdbc,1.487,1.004
vehicle,1.194,1.012
chemical_composition,1.081,1.013
vertebral_column_2C,1.349,1.067
vertebral_column,1.001,1.001
breast_tissue,1.02,1.223
abalone,1.499,1.002
fruit,1.415,1.034
gtzan,1.484,1.119
tox_171,1.317,1.207
